"";"Sensitivity";"Specificity";"Pos Pred Value";"Neg Pred Value";"Precision";"Recall";"F1";"Prevalence";"Detection Rate";"Detection Prevalence";"Balanced Accuracy"
"Class: airplanes";0,944444444444444;0,993827160493827;0,944444444444444;0,993827160493827;0,944444444444444;0,944444444444444;0,944444444444444;0,1;0,0944444444444444;0,1;0,969135802469136
"Class: bonsai";0,944444444444444;0,969135802469136;0,772727272727273;0,993670886075949;0,772727272727273;0,944444444444444;0,85;0,1;0,0944444444444444;0,122222222222222;0,95679012345679
"Class: Faces";1;0,987654320987654;0,9;1;0,9;1;0,947368421052632;0,1;0,1;0,111111111111111;0,993827160493827
"Class: minaret";1;1;1;1;1;1;1;0,1;0,1;0,1;1
"Class: Motorbikes";1;1;1;1;1;1;1;0,1;0,1;0,1;1
"Class: scorpion";0,444444444444444;0,981481481481482;0,727272727272728;0,940828402366864;0,727272727272727;0,444444444444444;0,551724137931034;0,1;0,0444444444444444;0,0611111111111111;0,712962962962963
"Class: starfish";0,777777777777778;0,962962962962963;0,7;0,975;0,7;0,777777777777778;0,736842105263158;0,1;0,0777777777777778;0,111111111111111;0,87037037037037
"Class: trilobite";1;1;1;1;1;1;1;0,1;0,1;0,1;1
"Class: umbrella";0,888888888888889;0,975308641975309;0,8;0,9875;0,8;0,888888888888889;0,842105263157895;0,1;0,0888888888888889;0,111111111111111;0,932098765432099
"Class: watch";0,833333333333333;1;1;0,981818181818182;1;0,833333333333333;0,909090909090909;0,1;0,0833333333333333;0,0833333333333333;0,916666666666667
